Case #1:  5
Case #2:  1
Case #3:  1 2
Case #4:  4 9
Case #5:  20971520000001 62914560000003 104857600000005 146800640000007 188743680000009 230686720000011 272629760000013 314572800000015 356515840000017 398458880000019 440401920000021 482344960000023 524288000000025 566231040000027 608174080000029 650117120000031 692060160000033 734003200000035 775946240000037 817889280000039 859832320000041 901775360000043 943718400000045 985661440000047 1027604480000049 1069547520000051 1111490560000053 1153433600000055 1195376640000057 1237319680000059 1279262720000061 1321205760000063 1363148800000065 1405091840000067 1447034880000069 1488977920000071 1530920960000073 1572864000000075 1614807040000077 1656750080000079
Case #6:  21936950640377857 65810851921133571 109684753201889285
Case #7:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81
Case #8:  4096000000000001 12288000000000003 20480000000000005 28672000000000007 36864000000000009 45056000000000011 53248000000000013 61440000000000015 69632000000000017 77824000000000019
Case #9:  1
Case #10:  5 15
Case #11:  8916100448257 26748301344771 44580502241285 62412703137799 80244904034313 98077104930827
Case #12:  512000000001 1536000000003 2560000000005 3584000000007 4608000000009 5632000000011 6656000000013 7680000000015 8704000000017 9728000000019
Case #13:  3970 11910 19850 27790 35730 43670 51610 59550 67490 75430 83370 91310 99250 107190 115130 123070 131010 138950 146890 154830 162770 170710 178650 186590 194530 202470 210410 218350 226290 234230 242170 250047
Case #14:  899194740203777 2697584220611331 4495973701018885 6294363181426439 8092752661833993 9891142142241547 11689531622649101 13487921103056655 15286310583464209 17084700063871763 18883089544279317 20681479024686871 22479868505094425 24278257985501979 26076647465909533 27875036946317087 29673426426724641 31471815907132195 33270205387539749 35068594867947303 36866984348354857 38665373828762411 40463763309169965 42262152789577519 44060542269985073 45858931750392627 47657321230800181 49455710711207735 51254100191615289 53052489672022843 54850879152430397 56649268632837951 58447658113245505 60246047593653059 62044437074060613 63842826554468167 65641216034875721
Case #15:  7737809376 23213428128 38689046880 54164665632 69640284384 85115903136 100591521888 116067140640 131542759392 147018378144 162493996896 177969615648 193445234400 208920853152 224396471904 239872090656 255347709408 270823328160 286298946912 301774565664 317250184416 332725803168 348201421920 363677040672 379152659424 394628278176 410103896928 425579515680 441055134432 456530753184 472006371936 487481990688 502957609440 518433228192 533908846944 549384465696 564860084448 580335703200 595811321952 611286940704 626762559456 642238178208 657713796960 673189415712 688665034464 704140653216 719616271968 735091890625
Case #16:  2602 7806 13010 18214 23418 28622 33826 39030 44234 49438 54642 59846 65050 70254 75458 80662 85866 91070 96274 101478 106682 111886 117090 122294 127498 132651
Case #17:  379749833583242 1139249500749726 1898749167916210 2658248835082694 3417748502249178 4177248169415651
Case #18:  1 2 3 4
Case #19:  8837 26511 44185 61859 79533 97207 114881 132555 150229 167903 185577 203251 220925 238599 256273 273947 291621 309295 326969 344643 362317 379991 397665 415339 433013 450687 468361 486035 503709 521383 539057 556731 574405 592079 609753 627427 645101 662775 680449 698123 715797 733471 751145 768819 786493 804167 821841
Case #20:  5764802 17294406 28824010 40353614 51883218 63412822 74942426 86472030 98001634 109531238 121060842 132590446 144120050 155649654 167179258 178708862 190238466 201768070 213297674 224827278 236356882 247886486 259416090 270945694 282475249
Case #21:  992436544 2977309632 4962182720 6947055808 8931928896 10916801984 12901675072 14886548160 16871421248 18856294336 20841167424 22826040512 24810913600 26795786688 28780659776 30765532864 32750405952 34735279040 36720152128 38705025216 40689898304 42674771392 44659644480 46644517568 48629390656 50614263744 52599136832 54584009920 56568883008 58553756096 60538629184 62523502209
Case #22:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
Case #23:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
Case #24:  2821109907457 8463329722371 14105549537285
Case #25:  1000001 3000003 5000005 7000007 9000009 11000011 13000013 15000015 17000017 19000019 21000021 23000023 25000025 27000027 29000029 31000031 33000033 35000035 37000037 39000039 41000041 43000043 45000045 47000047 49000049 51000051 53000053 55000055 57000057 59000059 61000061 63000063 65000065 67000067 69000069 71000071 73000073 75000075 77000077 79000079 81000081 83000083 85000085 87000087 89000089 91000091 93000093 95000095 97000097 99000099
Case #26:  4879682 14639046 24398410 34157774 43917138 53676502 63435866 73195230 82954594 92713958 102473322 112232686 121992050 131751414 141510778 151270142 161029506 170788870 180548234 190307598 200066962 209826326 219585690 229345007
Case #27:  64847759419265 194543278257795 324238797096325 453934315934855 583629834773385 713325353611915 843020872450445 972716391288975 1102411910127505 1232107428966035 1361802947804565 1491498466643095 1621193985481625 1750889504320155 1880585023158685 2010280541997215 2139976060835745 2269671579674275 2399367098512805 2529062617351335 2658758136189865 2788453655028395 2918149173866925 3047844692705455 3177540211543985 3307235730382515 3436931249221045 3566626768059575 3696322286898105 3826017805736635 3955713324575165 4085408843413695 4215104362252225 4344799881090755 4474495399929285 4604190918767815 4733886437606345 4863581956444875 4993277475283405 5122972994121935 5252668512960465 5382364031798995 5512059550637525 5641755069476055 5771450588314585 5901146107153115 6030841625991645
Case #28:  1
Case #29:  17 51
Case #30:  13492928513 40478785539 67464642565 94450499591 121436356617 148422213643 175408070669 202393927695 229379784721 256365641747 283351498773 310337355799 337323212825 364309069851
Case #31:  25600000001 76800000003 128000000005 179200000007 230400000009 281600000011 332800000013 384000000015 435200000017 486400000019
